abstime(us), VoltagePID, Degree pr Sec, Wanted WS:3.000000,,
54214512,2.033907,11.111164,,,
54234765,1.986189,12.698507,,,
54255018,1.991521,12.698460,,,
54275266,2.004962,12.539768,,,
54295478,2.015802,12.486863,,,
54315695,2.035689,12.275219,,,
54335946,2.037692,12.486792,,,
54356168,2.049465,12.433958,,,
abstime(us), VoltagePID, Degree pr Sec, Wanted WS:3.000000,,
57376563,1.521436,12.963048,,,
57396791,1.145215,16.878414,,,
57417015,1.118846,12.592673,,,
57437236,0.960062,12.381042,,,
57457478,0.815835,11.957753,,,
57477731,0.676388,11.587370,,,
57497977,0.551600,11.058283,,,
57518226,0.406425,11.111212,,,
57538442,0.371169,8.994770,,,
57558700,0.384146,6.666684,,,
57578908,0.186836,9.259319,,,
57599158,0.122135,8.359838,,,
57619405,0.059818,7.724905,,,
57639618,0.014132,6.984186,,,
57659831,-0.023863,6.349254,,,
57680054,-0.050633,5.714321,,,
57700302,0.028452,3.227544,,,
57720556,-0.048570,4.656100,,,
57740804,-0.018368,3.492069,,,
57761054,0.113525,0.740743,,,
57781303,-0.016865,4.074073,,,
57801516,0.080405,1.798940,,,
57821731,0.123271,1.375628,,,
57841975,0.160099,1.216936,,,
57862229,0.232179,0.423288,,,
57882441,0.293959,0.105810,,,
57902664,0.350535,0.000000,,,
57922874,0.398165,0.105858,,,
57943083,0.449334,0.105858,,,
57963332,0.500502,0.105858,,,
57983580,0.557080,0.000000,,,
58003797,0.604713,0.105810,,,
58024014,0.642364,0.370359,,,
58044231,0.496892,4.127002,,,
58064451,0.652707,0.687838,,,
58084706,0.704400,0.476217,,,
58104955,0.627352,2.857208,,,
58125204,0.727215,0.952339,,,
58145420,0.744490,1.322746,,,
58165638,0.774144,1.322746,,,
58185884,0.792982,1.534414,,,
58206133,0.816191,1.587296,,,
58226380,0.892537,0.582027,,,
58246630,0.959621,0.105810,,,
58266846,0.872899,2.804279,,,
58287059,0.857434,3.174639,,,
58307304,0.840828,3.439188,,,
58327555,0.822249,3.650808,,,
58347772,0.789113,4.074097,,,
58367990,0.756604,4.338646,,,
58388233,0.754565,3.915405,,,
abstime(us), VoltagePID, Degree pr Sec, Wanted WS:4.000000,,
61408634,0.727297,5.132294,,,
61428853,0.785686,3.597903,,,
61449097,0.663015,6.137633,,,
61469344,0.722555,4.232860,,,
61489589,0.769810,3.227544,,,
61509843,0.675318,5.343962,,,
61530057,0.651557,5.343962,,,
61550272,0.625092,5.396867,,,
61570524,0.611209,5.185246,,,
61590768,0.533478,6.296325,,,
61610983,0.555064,5.079389,,,
61631202,0.576537,4.285717,,,
61651448,0.514706,5.396867,,,
61671677,0.535973,4.497385,,,
61691922,0.551512,4.021215,,,
61712138,0.551139,4.021168,,,
61732351,0.548061,4.074073,,,
61752595,0.562971,3.756666,,,
61772840,0.586201,3.386259,,,
61793057,0.594347,3.439188,,,
61813272,0.612374,3.280449,,,
61833521,0.652134,2.751327,,,
61853737,0.579581,4.603171,,,
61873950,0.636508,3.280449,,,
61894194,0.651935,3.227520,,,
61914448,0.495256,6.560898,,,
61934671,0.633831,2.963018,,,
61954918,0.652168,2.962971,,,
61975134,0.670500,2.963018,,,
61995352,0.675315,3.227568,,,
62015592,0.799829,1.058149,,,
62035804,0.735577,3.333378,,,
62056024,0.741958,3.439140,,,
62076274,0.757279,3.333378,,,
62096525,0.760956,3.492069,,,
62116740,0.761824,3.650808,,,
62136954,0.757184,3.862429,,,
62157172,0.762318,3.809547,,,
62177428,0.765686,3.809547,,,
62197651,0.747423,4.232836,,,
62217900,0.740603,4.285741,,,
62238110,0.727440,4.444474,,,
62258349,0.711470,4.603201,,,
62278598,0.714324,4.338652,,,
62298854,0.713745,4.232830,,,
62319101,0.696109,4.497385,,,
62339347,0.700834,4.232836,,,
62359564,0.688606,4.391566,,,
62379779,0.849314,1.111120,,,
62399993,0.735463,4.338652,,,
62420205,0.713253,4.656112,,,
