x-axis,1,EXT
second,Volt,
+9.40000E-03,+3.12281401E+00,1
+9.45000E-03,+3.10396979E+00,1
+9.50000E-03,+3.08261300E+00,1
+9.55000E-03,+3.16301501E+00,1
+9.60000E-03,+3.16301501E+00,1
+9.65000E-03,+3.20321602E+00,1
+9.70000E-03,+3.19442205E+00,1
+9.75000E-03,+3.12155773E+00,1
+9.80000E-03,+3.12281401E+00,1
+9.85000E-03,+3.16552757E+00,1
+9.90000E-03,+3.17180898E+00,1
+9.95000E-03,+3.20321602E+00,1
+10.00000E-03,+3.16301501E+00,1
+10.05000E-03,+107.73866E-03,1
+10.10000E-03,+139.14570E-03,1
+10.15000E-03,+107.73866E-03,1
+10.20000E-03,+67.53766E-03,1
+10.25000E-03,+86.38188E-03,1
+10.30000E-03,+98.94469E-03,1
+10.35000E-03,+146.68339E-03,1
+10.40000E-03,+3.12281401E+00,1
+10.45000E-03,+3.14165823E+00,1
+10.50000E-03,+3.20321602E+00,1
+10.55000E-03,+3.24216074E+00,1
+10.60000E-03,+3.16301501E+00,1
+10.65000E-03,+3.12281401E+00,1
+10.70000E-03,+3.13160798E+00,1
+10.75000E-03,+3.12281401E+00,1
+10.80000E-03,+3.20321602E+00,1
+10.85000E-03,+3.16301501E+00,1
+10.90000E-03,+3.20321602E+00,1
+10.95000E-03,+3.12281401E+00,1
+11.00000E-03,+3.12281401E+00,1
+11.05000E-03,+3.14165823E+00,1
+11.10000E-03,+3.17180898E+00,1
+11.15000E-03,+147.93967E-03,1
+11.20000E-03,+119.04520E-03,1
+11.25000E-03,+126.58288E-03,1
+11.30000E-03,+147.93967E-03,1
+11.35000E-03,+108.99494E-03,1
+11.40000E-03,+147.93967E-03,1
+11.45000E-03,+166.78389E-03,1
+11.50000E-03,+2.61527632E+00,1
+11.55000E-03,+3.12407029E+00,1
+11.60000E-03,+3.16301501E+00,1
+11.65000E-03,+3.14417079E+00,1
+11.70000E-03,+3.20321602E+00,1
+11.75000E-03,+3.16427129E+00,1
+11.80000E-03,+3.20321602E+00,1
+11.85000E-03,+3.20321602E+00,1
+11.90000E-03,+3.15422104E+00,1
+11.95000E-03,+3.16301501E+00,1
+12.00000E-03,+3.16301501E+00,1
+12.05000E-03,+3.20321602E+00,1
+12.10000E-03,+3.22582908E+00,1
+12.15000E-03,+3.16427129E+00,1
+12.20000E-03,+3.16301501E+00,1
+12.25000E-03,+346.43213E-03,1
+12.30000E-03,+116.53263E-03,1
+12.35000E-03,+149.19595E-03,1
+12.40000E-03,+67.53766E-03,1
+12.45000E-03,+67.53766E-03,1
+12.50000E-03,+67.53766E-03,1
+12.55000E-03,+145.42710E-03,1
+12.60000E-03,+96.43213E-03,1
+12.65000E-03,+3.20321602E+00,1
+12.70000E-03,+3.17180898E+00,1
+12.75000E-03,+3.16301501E+00,1
+12.80000E-03,+3.19190948E+00,1
+12.85000E-03,+3.20321602E+00,1
+12.90000E-03,+3.20321602E+00,1
+12.95000E-03,+3.16427129E+00,1
+13.00000E-03,+3.17432154E+00,1
+13.05000E-03,+3.22206024E+00,1
+13.10000E-03,+3.19442205E+00,1
+13.15000E-03,+3.12407029E+00,1
+13.20000E-03,+3.17432154E+00,1
+13.25000E-03,+3.16301501E+00,1
+13.30000E-03,+3.16301501E+00,1
+13.35000E-03,+3.20321602E+00,1
+13.40000E-03,+107.73866E-03,1
+13.45000E-03,+126.58288E-03,1
+13.50000E-03,+107.73866E-03,1
+13.55000E-03,+107.73866E-03,1
+13.60000E-03,+119.04520E-03,1
+13.65000E-03,+107.73866E-03,1
+13.70000E-03,+139.14570E-03,1
+13.75000E-03,+3.20321602E+00,1
+13.80000E-03,+3.16301501E+00,1
+13.85000E-03,+3.16301501E+00,1
+13.90000E-03,+3.20321602E+00,1
+13.95000E-03,+3.16427129E+00,1
+14.00000E-03,+3.19190948E+00,1
+14.05000E-03,+3.20572858E+00,1
+14.10000E-03,+3.19442205E+00,1
+14.15000E-03,+3.16427129E+00,1
+14.20000E-03,+3.17432154E+00,1
+14.25000E-03,+3.18437180E+00,1
+14.30000E-03,+3.14040195E+00,1
+14.35000E-03,+3.12532657E+00,1
+14.40000E-03,+3.17432154E+00,1
+14.45000E-03,+3.20321602E+00,1
+14.50000E-03,+36.13062E-03,1
+14.55000E-03,+67.53766E-03,1
+14.60000E-03,+78.84419E-03,1
+14.65000E-03,+67.53766E-03,1
+14.70000E-03,+58.74369E-03,1
+14.75000E-03,+67.53766E-03,1
+14.80000E-03,+78.84419E-03,1
+14.85000E-03,+3.16301501E+00,1
+14.90000E-03,+3.20321602E+00,1
+14.95000E-03,+3.20321602E+00,1
+15.00000E-03,+3.20321602E+00,1
+15.05000E-03,+3.20572858E+00,1
+15.10000E-03,+3.20321602E+00,1
+15.15000E-03,+3.20447230E+00,1
+15.20000E-03,+3.20321602E+00,1
+15.25000E-03,+3.18437180E+00,1
+15.30000E-03,+3.20321602E+00,1
+15.35000E-03,+3.20447230E+00,1
+15.40000E-03,+3.20321602E+00,1
+15.45000E-03,+3.20321602E+00,1
+15.50000E-03,+3.20321602E+00,1
+15.55000E-03,+3.20321602E+00,1
+15.60000E-03,+147.93967E-03,1
+15.65000E-03,+107.73866E-03,1
+15.70000E-03,+107.73866E-03,1
+15.75000E-03,+107.73866E-03,1
+15.80000E-03,+119.04520E-03,1
+15.85000E-03,+129.09545E-03,1
+15.90000E-03,+147.93967E-03,1
+15.95000E-03,+181.85926E-03,1
+16.00000E-03,+3.20321602E+00,1
+16.05000E-03,+3.20572858E+00,1
+16.10000E-03,+3.20321602E+00,1
+16.15000E-03,+3.20321602E+00,1
+16.20000E-03,+3.20321602E+00,1
+16.25000E-03,+3.22206024E+00,1
+16.30000E-03,+3.20321602E+00,1
+16.35000E-03,+3.20321602E+00,1
+16.40000E-03,+3.17432154E+00,1
+16.45000E-03,+3.25974868E+00,1
+16.50000E-03,+3.19442205E+00,1
+16.55000E-03,+3.20321602E+00,1
+16.60000E-03,+3.20321602E+00,1
+16.65000E-03,+3.22206024E+00,1
+16.70000E-03,+1.82130648E+00,1
+16.75000E-03,+67.53766E-03,1
+16.80000E-03,+67.53766E-03,1
+16.85000E-03,+67.53766E-03,1
+16.90000E-03,+139.14570E-03,1
+16.95000E-03,+67.53766E-03,1
+17.00000E-03,+67.53766E-03,1
+17.05000E-03,+126.58288E-03,1
+17.10000E-03,+3.23462305E+00,1
+17.15000E-03,+3.20572858E+00,1
+17.20000E-03,+3.20321602E+00,1
+17.25000E-03,+3.20321602E+00,1
+17.30000E-03,+3.23462305E+00,1
+17.35000E-03,+3.20447230E+00,1
+17.40000E-03,+3.23211049E+00,1
+17.45000E-03,+3.22206024E+00,1
+17.50000E-03,+3.20321602E+00,1
+17.55000E-03,+3.20321602E+00,1
+17.60000E-03,+3.21452255E+00,1
+17.65000E-03,+3.16301501E+00,1
+17.70000E-03,+3.20321602E+00,1
+17.75000E-03,+3.20321602E+00,1
+17.80000E-03,+3.21452255E+00,1
+17.85000E-03,+126.58288E-03,1
+17.90000E-03,+147.93967E-03,1
+17.95000E-03,+146.68339E-03,1
+18.00000E-03,+136.63313E-03,1
+18.05000E-03,+147.93967E-03,1
+18.10000E-03,+116.53263E-03,1
+18.15000E-03,+68.79394E-03,1
+18.20000E-03,+3.23211049E+00,1
+18.25000E-03,+3.22206024E+00,1
+18.30000E-03,+3.21200999E+00,1
+18.35000E-03,+3.20321602E+00,1
+18.40000E-03,+3.20321602E+00,1
+18.45000E-03,+3.20321602E+00,1
+18.50000E-03,+3.20321602E+00,1
+18.55000E-03,+3.20447230E+00,1
+18.60000E-03,+3.23211049E+00,1
+18.65000E-03,+3.20321602E+00,1
+18.70000E-03,+3.23462305E+00,1
+18.75000E-03,+3.20321602E+00,1
+18.80000E-03,+3.23211049E+00,1
+18.85000E-03,+3.20321602E+00,1
+18.90000E-03,+3.17180898E+00,1
+18.95000E-03,+68.79394E-03,1
+19.00000E-03,+78.84419E-03,1
+19.05000E-03,+67.53766E-03,1
+19.10000E-03,+76.33163E-03,1
+19.15000E-03,+107.73866E-03,1
+19.20000E-03,+96.43213E-03,1
+19.25000E-03,+126.58288E-03,1
+19.30000E-03,+3.23462305E+00,1
+19.35000E-03,+3.20321602E+00,1
+19.40000E-03,+3.17432154E+00,1
+19.45000E-03,+3.20321602E+00,1
+19.50000E-03,+3.20321602E+00,1
+19.55000E-03,+3.24216074E+00,1
+19.60000E-03,+3.23211049E+00,1
+19.65000E-03,+3.20321602E+00,1
+19.70000E-03,+3.20321602E+00,1
+19.75000E-03,+3.20447230E+00,1
+19.80000E-03,+3.20321602E+00,1
+19.85000E-03,+3.22457280E+00,1
+19.90000E-03,+3.20321602E+00,1
+19.95000E-03,+3.20321602E+00,1
+20.00000E-03,+3.18562808E+00,1
+20.05000E-03,+88.89444E-03,1
+20.10000E-03,+67.53766E-03,1
+20.15000E-03,+28.59293E-03,1
+20.20000E-03,+67.53766E-03,1
+20.25000E-03,+67.53766E-03,1
+20.30000E-03,+58.74369E-03,1
+20.35000E-03,+66.28138E-03,1
+20.40000E-03,+2.09894467E+00,1
+20.45000E-03,+3.20321602E+00,1
+20.50000E-03,+3.20321602E+00,1
+20.55000E-03,+3.20321602E+00,1
+20.60000E-03,+3.21452255E+00,1
+20.65000E-03,+3.22206024E+00,1
+20.70000E-03,+3.20321602E+00,1
+20.75000E-03,+3.24341702E+00,1
+20.80000E-03,+3.20321602E+00,1
+20.85000E-03,+3.22457280E+00,1
+20.90000E-03,+3.20321602E+00,1
+20.95000E-03,+3.20572858E+00,1
+21.00000E-03,+3.20321602E+00,1
+21.05000E-03,+3.22457280E+00,1
+21.10000E-03,+3.20321602E+00,1
+21.15000E-03,+3.18562808E+00,1
+21.20000E-03,+119.04520E-03,1
+21.25000E-03,+86.38188E-03,1
+21.30000E-03,+36.13062E-03,1
+21.35000E-03,+67.53766E-03,1
+21.40000E-03,+27.33665E-03,1
+21.45000E-03,+48.69344E-03,1
+21.50000E-03,+58.74369E-03,1
+21.55000E-03,+3.20447230E+00,1
+21.60000E-03,+3.24341702E+00,1
+21.65000E-03,+3.18185923E+00,1
+21.70000E-03,+3.21200999E+00,1
+21.75000E-03,+3.20321602E+00,1
+21.80000E-03,+3.20321602E+00,1
+21.85000E-03,+3.22457280E+00,1
+21.90000E-03,+3.20321602E+00,1
+21.95000E-03,+3.20321602E+00,1
+22.00000E-03,+3.24341702E+00,1
+22.05000E-03,+3.20321602E+00,1
+22.10000E-03,+3.20321602E+00,1
+22.15000E-03,+3.20321602E+00,1
+22.20000E-03,+3.24341702E+00,1
+22.25000E-03,+3.22457280E+00,1
+22.30000E-03,+107.73866E-03,1
+22.35000E-03,+68.79394E-03,1
+22.40000E-03,+78.84419E-03,1
+22.45000E-03,+107.73866E-03,1
+22.50000E-03,+107.73866E-03,1
+22.55000E-03,+107.73866E-03,1
+22.60000E-03,+136.63313E-03,1
+22.65000E-03,+3.20321602E+00,1
+22.70000E-03,+3.21200999E+00,1
+22.75000E-03,+3.24341702E+00,1
+22.80000E-03,+3.21452255E+00,1
+22.85000E-03,+3.20321602E+00,1
+22.90000E-03,+3.21200999E+00,1
+22.95000E-03,+3.20321602E+00,1
+23.00000E-03,+3.20321602E+00,1
+23.05000E-03,+3.22206024E+00,1
+23.10000E-03,+3.20321602E+00,1
+23.15000E-03,+3.20321602E+00,1
+23.20000E-03,+3.20321602E+00,1
+23.25000E-03,+3.20321602E+00,1
+23.30000E-03,+3.23462305E+00,1
+23.35000E-03,+3.16427129E+00,1
+23.40000E-03,+107.73866E-03,1
+23.45000E-03,+67.53766E-03,1
+23.50000E-03,+98.94469E-03,1
+23.55000E-03,+68.79394E-03,1
+23.60000E-03,+96.43213E-03,1
+23.65000E-03,+88.89444E-03,1
+23.70000E-03,+107.73866E-03,1
+23.75000E-03,+3.20321602E+00,1
+23.80000E-03,+3.21452255E+00,1
+23.85000E-03,+3.20321602E+00,1
+23.90000E-03,+3.23462305E+00,1
+23.95000E-03,+3.20447230E+00,1
+24.00000E-03,+3.23211049E+00,1
+24.05000E-03,+3.20321602E+00,1
+24.10000E-03,+3.20321602E+00,1
+24.15000E-03,+3.20447230E+00,1
+24.20000E-03,+3.21452255E+00,1
+24.25000E-03,+3.20321602E+00,1
+24.30000E-03,+3.20321602E+00,1
+24.35000E-03,+3.24341702E+00,1
+24.40000E-03,+3.20321602E+00,1
+24.45000E-03,+3.22206024E+00,1
+24.50000E-03,+107.73866E-03,1
+24.55000E-03,+67.53766E-03,1
+24.60000E-03,+67.53766E-03,1
+24.65000E-03,+67.53766E-03,1
+24.70000E-03,+107.73866E-03,1
+24.75000E-03,+67.53766E-03,1
+24.80000E-03,+96.43213E-03,1
+24.85000E-03,+3.04492456E+00,1
+24.90000E-03,+3.23462305E+00,1
+24.95000E-03,+3.16552757E+00,1
+25.00000E-03,+3.24341702E+00,1
+25.05000E-03,+3.20321602E+00,1
+25.10000E-03,+3.21200999E+00,1
